id,year,lustrum,count_by_lustrum,duration_minutes,genre,genre_simplified,word_plot_count,media_sentiment,topics_lustrum_keywords,count_female,count_male,female_presence,female_ratio,female_adj_percentage
4795fd4d-c017-4f2b-9191-3ca515f3da28,2024,2020,239,123,documental,Documental,39,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",0,0,0,0.0,0.0
2e6b6249-77ad-4981-a37d-0e95c921ff4c,2024,2020,239,105,Drama romántico,Drama,73,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",1,1,1,0.5,40.0
e74fbd94-b9cd-4944-9010-851483d9c733,2024,2020,239,108,Comedia,Comedia,99,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",0,2,0,0.0,75.0
bd8894b3-b225-4f0c-a010-dbf739096735,2024,2020,239,100,Drama de época,Drama,63,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",3,1,1,0.75,25.0
9eb48c18-ec1c-4a1d-9ac4-1c8135ab73fb,2024,2020,239,100,Comedia,Comedia,47,POS,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",2,3,1,0.4,0.0
8e039c4e-1992-4f78-908e-6f1a4afdee66,2024,2020,239,91,TerrorSobrenatural,Terror,102,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",2,1,1,0.6666666666666666,22.22222222222222
372f35e2-625e-4a4f-a49e-7975e0df6364,2024,2020,239,83,Drama,Drama,87,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",5,3,1,0.625,62.5
aee4436c-3d98-44b9-9010-22dfcefc5d72,2024,2020,239,90,Comedia romántica,Comedia,126,NEU,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",5,2,1,0.7142857142857143,37.5
c13c8299-fdb2-4fdc-a4b7-5d6a6ad9f06f,2024,2020,239,106,ComediaDeportes,Comedia,57,POS,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",1,3,1,0.25,100.0
5498dd2c-7e4e-4528-90d9-451be3b8b93f,2024,2020,239,16,documental/ficción,Ciencia ficción,86,NEG,"Tópico 0: familia, madre, vida, años, casa, tras, padre, padres, niños, dos | Tópico 1: ane, lucía, cocó, lourdes, nombre, hija, lita, aitor, abejas, vida | Tópico 2: vida, hija, ser, madrid, ángel, miles, solo, damián, día, posibilidad | Tópico 3: película, dirigida, protagonizada, española, estrenó, escrita, distribución, cines, españoles, santaló | Tópico 4: través, televisión, mientras, película, carme, arenas, cinco, voces, directora, teatro",0,2,0,0.0,16.666666666666664
